load_factor,disp_min_in,disp_max_in,moment_lbin
0.0,0.0,0.0,0.0
0.001,-1.0305759339436195e-8,9.288975436703147e-9,1.0
0.002,-2.06654641898576e-8,4.130755528723598e-8,2.0
0.003,-3.1128273502863936e-8,9.741141119227344e-8,3.0
0.004,-4.16814395171986e-8,1.7021959086555607e-7,4.0
0.005,-5.2276546570352e-8,2.5324879072131285e-7,5.0
0.01,-1.0549607038124055e-7,7.092790387206841e-7,10.0
0.02,-2.1258370287470726e-7,1.7152478330737688e-6,20.0
0.03,-3.203015377359865e-7,2.7959240448876196e-6,30.0
0.04,-4.281776253239261e-7,3.908316893960002e-6,40.0
0.05,-5.362418152774398e-7,5.048198698359827e-6,50.0
0.1,-1.0772961508147968e-6,1.0859731807087587e-5,100.0
0.2,-2.1626287470891752e-6,2.276352309246767e-5,200.0
0.3,-3.2505176700391727e-6,3.4826880682153704e-5,300.0
0.4,-4.339012776189691e-6,4.6927549914655824e-5,400.0
0.5,-5.427788152842317e-6,5.904057923711145e-5,500.0
0.6,-6.516650621530002e-6,7.116501311276727e-5,600.0
0.7,-7.605517411478296e-6,8.328939741954592e-5,700.0
0.8,-8.694483566044725e-6,9.541722458301611e-5,800.0
0.9,-9.78346445358995e-6,0.0001075469421190869,900.0
1.0,-1.087244432700933e-5,0.0001196766179422049,1000.0
